HouseID,Address,ListingPrice,Bedrooms,Bathrooms,SquareFootage,LotSize_Acres,YearBuilt,PropertyType,Status
1a5c9653-e4af-4db0-a093-8a39390ef7f5,"1954 Joseph Summit, Bridgewater, NJ 08727",3681098,7,4.5,6671,3.66,1940,Single Family,For Sale
1784b870-5a9f-46f5-89b4-85d9aec29a98,"908 Quinn Spring, Hopewell, NJ 07818",708054,2,3.0,1977,1.26,1965,Multi-Family,For Sale
8df27606-19b5-49f3-9786-4882695cba21,"6545 Seth Meadows Apt. 574, Woodbridge, NJ 07767",3550700,3,4.5,5015,4.6,1952,Single Family,For Sale
0c2f720d-f362-4279-9ffa-8b9a6ba89bd5,"92670 Alexa Crest Apt. 320, Montgomery, NJ 07729",1481005,3,2.5,2808,2.22,2020,Townhouse,For Sale
cc341e90-c9e0-45f2-818f-df35e378c04d,"400 Myers Drive Apt. 616, Edison, NJ 07046",3613146,4,4.5,5472,2.08,2022,Single Family,For Sale
0c49d30a-37ca-4670-a5e7-837530713883,"3804 Barker Locks, Princeton, NJ 07816",582029,3,3.5,2544,2.11,1943,Townhouse,For Sale
9e5facdb-8cde-499e-b0b0-2e09c227eea5,"31286 Michelle Crossroad, Piscataway, NJ 08875",950972,3,4.5,2740,2.16,1970,Single Family,For Sale
cc761903-d3b8-44bd-81c6-bff43ad44fd1,"26652 Garcia Hill, West Windsor, NJ 08005",2522718,4,2.5,3862,3.24,2005,Single Family,For Sale
87437b44-b78e-4fd8-bcb1-37f93b7109f2,"0519 Madison Squares Suite 933, Edison, NJ 08918",2863826,6,5.0,5550,1.44,1948,Single Family,For Sale
32f341ee-be2f-4e3f-89eb-7c2e9a1fb375,"15158 Zoe Neck Apt. 205, West Windsor, NJ 08352",1674963,3,4.0,3470,2.33,2022,Single Family,For Sale
c7291074-c42f-45f1-8cb2-844d1c8d9252,"5072 Martinez Inlet Apt. 768, Hillsborough, NJ 07284",1913821,3,3.0,4112,1.8,2008,Condo,For Sale
25434d25-c43d-4f09-a44f-fa0dff269d10,"8007 Alvarado Parkways Apt. 949, Plainsboro, NJ 07844",755584,4,2.5,2951,2.83,1990,Single Family,For Sale
2c738a7f-91c3-419f-a4cf-0333c7cabeb4,"006 Lisa Island, Bridgewater, NJ 08648",2936893,3,6.0,4099,2.4,1958,Townhouse,For Sale
70741d01-13fd-4dad-819a-c18ea24f38ee,"476 Rebecca Springs Suite 304, Woodbridge, NJ 08040",2377658,7,6.0,5498,2.83,1965,Townhouse,For Sale
9a44fc55-4bc8-484d-b739-3b44c08d45ca,"935 Travis Fields Suite 179, Piscataway, NJ 08379",945795,2,5.0,2808,0.37,1948,Single Family,For Sale
7cfca20e-6f3c-48c2-bf09-7f29fb7e5067,"4702 Christina Mountain Apt. 572, Princeton, NJ 07761",3607723,4,4.0,5214,2.07,2004,Single Family,For Sale
c4748e7f-8824-47cd-8c51-d817ea5bff03,"84527 Brandon Valley, Princeton, NJ 08571",1613078,6,4.5,3978,2.97,1946,Single Family,For Sale
1d91b1cd-f15d-4493-ba98-291aa87ad726,"6177 Fernandez Valley Apt. 343, Piscataway, NJ 08267",3801490,4,5.0,5827,2.62,1991,Single Family,For Sale
7c610c62-5e67-466f-a891-7903a7e6b9ce,"543 Teresa Walk Apt. 488, Edison, NJ 07755",1819450,4,3.5,3741,2.59,1967,Multi-Family,For Sale
ee1c33b0-3d3f-41d5-92d3-f34091d2d56c,"753 Alvarez Circles, Hopewell, NJ 08610",3693438,5,6.0,6055,4.06,2004,Townhouse,For Sale
df420340-3452-4831-bb16-5943fd72ad4e,"50788 Lewis Ridges, West Windsor, NJ 08896",3676506,4,4.5,5544,3.5,2025,Single Family,For Sale
deca259d-f392-42cc-ba16-57f123043276,"762 Smith Rapid Suite 132, Hopewell, NJ 07211",3863576,3,4.5,5567,2.59,2021,Single Family,For Sale
f3549ed2-2a80-4f57-8fa1-65e521a3a17d,"726 Donald Forest Apt. 609, Hopewell, NJ 08758",851542,5,4.0,3342,0.34,1960,Single Family,For Sale
ba0ae834-9f6e-43bd-a22d-2d3f82a7cb44,"93432 Davis Rapids, Piscataway, NJ 08855",3332282,3,4.5,4392,3.49,1997,Single Family,For Sale
a1dd200f-a360-4546-8f64-3709a0a2d358,"3048 Hart Curve Suite 928, Edison, NJ 08389",3704839,5,4.0,5393,3.76,2022,Single Family,For Sale
8312cc96-efaf-433d-a823-c1051bb99c7e,"249 Miller Brook Apt. 566, New Brunswick, NJ 08087",3996263,5,6.0,6203,4.15,1961,Single Family,For Sale
2f8a0fd6-94b2-43bc-a69a-c6bed02c9bac,"912 Smith Walk, South Brunswick, NJ 07201",2233214,2,4.0,3354,2.16,2016,Single Family,For Sale
ec5ad6d0-abf4-4d40-88fd-f0ef21787b87,"1368 Dominguez Shores, South Brunswick, NJ 08001",3678064,3,5.5,5183,2.02,2016,Single Family,For Sale
5befc323-8667-4d87-b262-9a29ec9aaae8,"79920 Allison Course, Princeton, NJ 07239",2749292,7,5.0,5133,4.16,1970,Townhouse,For Sale
2d8cb998-d7e0-4756-b1f3-12ef7ddea166,"7473 Olson Trafficway, Lawrenceville, NJ 08662",3275700,7,5.0,6715,3.46,1997,Single Family,For Sale
48453126-910d-45cb-b539-1ff6dfbd0df1,"7178 Antonio Crossroad Apt. 562, East Brunswick, NJ 08377",1294479,5,2.5,3060,0.59,1971,Single Family,For Sale
6797d28f-d0bc-4837-bd1b-966e783daa27,"494 Julie Isle, Hopewell, NJ 07633",3377972,3,3.5,5283,3.86,2009,Single Family,For Sale
1e2f9205-6840-4f62-b1a6-c11ff3a0c357,"358 Michael Square Apt. 291, Montgomery, NJ 08069",821149,4,4.5,2777,2.85,1967,Single Family,For Sale
011cb786-5c45-47bb-99bf-335c3a40eb68,"81250 Cindy Center, Lawrenceville, NJ 07516",3970763,3,4.5,5029,2.14,2000,Single Family,For Sale
8d9c9202-aa49-4ad6-811a-0a9e029ada51,"07233 Miller Ridge, Bridgewater, NJ 08169",3615471,7,5.5,6228,2.34,1940,Single Family,For Sale
e50ddec3-6102-4f32-b607-153ed1bd0fd3,"5710 Ashley Tunnel Suite 650, Edison, NJ 07114",1595846,2,2.5,3058,3.61,1947,Single Family,For Sale
2f88cea2-2c16-466b-b374-3808ec5c1337,"50705 Neal Avenue Suite 940, Plainsboro, NJ 08028",972348,5,3.0,3432,2.98,1957,Condo,For Sale
707ded8a-b1ea-4b6a-92fb-6de48c6d1074,"9509 Rice Islands Suite 192, West Windsor, NJ 08441",1205762,2,2.0,2497,1.3,1984,Townhouse,For Sale
eb10df39-4305-4861-9c11-2577b73a644c,"7604 Weber Ville Apt. 590, Franklin Township, NJ 07926",2590913,6,5.0,5646,4.15,1988,Condo,For Sale
6b7b97f4-e816-4f62-aeef-d6273dca60b1,"54631 Brooks Mews Apt. 824, Plainsboro, NJ 07943",717952,3,2.5,2567,1.56,1972,Single Family,For Sale
7baf42a9-8056-4374-8496-efc3b3ad8261,"90299 Colleen Plain Suite 589, Woodbridge, NJ 07955",2165618,5,4.5,4489,1.34,1968,Single Family,For Sale
b49525dc-30ce-4ee6-817c-4bf7ca566735,"462 Ricky Trail Suite 352, East Brunswick, NJ 08004",2212235,4,3.0,3882,1.45,2013,Single Family,For Sale
673ac9f0-129c-45b3-b94d-fea9c84b8c4b,"5915 Montgomery Forks, Bridgewater, NJ 07593",3351097,6,5.5,5406,2.85,1997,Single Family,For Sale
e727bdf9-c75a-46bd-b382-b09f2832617f,"3817 Sydney Drive, Woodbridge, NJ 07854",3048983,7,3.0,4904,2.99,1993,Townhouse,For Sale
292f2c78-bd9b-4c4c-81ba-066ca2b1d0b4,"446 Williams Neck, Princeton, NJ 07266",1161547,2,3.0,2565,1.21,1949,Townhouse,For Sale
2437f1b4-599f-4f3a-b083-471b22906552,"78452 Paul Fords Apt. 977, Woodbridge, NJ 07913",3578790,3,6.0,5000,3.41,2022,Single Family,For Sale
8742458d-0518-4c5d-b13b-5e2cee17ded2,"3517 West Run, Bridgewater, NJ 08519",1617539,6,5.5,4342,3.54,2018,Single Family,For Sale
2cff30ff-dbbd-498a-8e95-f28b5cce0bcd,"4026 Davis Stravenue Suite 466, Franklin Township, NJ 08203",1290770,4,3.0,3215,2.16,1944,Single Family,For Sale
5541a0e3-cd91-497e-a547-75071c4d6f62,"891 Wise Hills, Lawrenceville, NJ 08736",3750708,6,4.5,6024,2.61,2011,Townhouse,For Sale
5f15ff16-c1a7-4b58-9eed-2ddfbdc5708e,"5852 Isaac Cove Apt. 084, Hopewell, NJ 08645",1471003,3,2.0,3177,2.81,1971,Single Family,For Sale
2543eac9-98ce-47f5-a406-311940bae06b,"393 Jay Springs Apt. 118, Piscataway, NJ 07306",2837132,3,6.0,5498,2.5,1973,Single Family,For Sale
99891fc4-953b-44ed-af82-1fb6da85527b,"7150 Wright Island Suite 822, Piscataway, NJ 07641",3732586,3,6.0,5417,2.67,1968,Single Family,For Sale
d6f0c2b9-e546-47c4-a63c-2124a6d6184b,"28772 Elizabeth Glens Apt. 799, Hopewell, NJ 07098",3648231,7,4.5,6273,4.45,2020,Single Family,For Sale
eb573278-622b-4f29-99d8-f905b84d9efc,"460 Hendrix Underpass, Piscataway, NJ 08721",1122571,5,2.0,3535,1.25,1963,Single Family,For Sale
567240a9-112b-4edd-8cc5-406819b92d88,"04791 Jerry Throughway Suite 957, Plainsboro, NJ 08407",913821,2,3.5,2480,1.83,1940,Single Family,For Sale
f109842d-fa94-4a5d-9ad4-c856bae23df0,"8250 Amy Roads Suite 274, Franklin Township, NJ 08026",3567039,6,6.0,5960,3.51,2025,Multi-Family,For Sale
06c14c03-cd05-4481-bfdc-d0373a1878eb,"243 Davis Lakes, New Brunswick, NJ 07204",2595105,3,3.5,4927,3.48,2013,Single Family,For Sale
1723e268-0a4c-4629-982a-7ddf3bd87031,"1693 Wallace Drives, West Windsor, NJ 08225",2961173,6,4.0,5229,1.69,1982,Townhouse,For Sale
473629b2-c4eb-4161-aeb1-ac4154f31705,"91443 Joseph Green, Woodbridge, NJ 08034",1638274,6,5.5,4138,1.37,2003,Townhouse,For Sale
99ad55fc-846a-40e4-9a98-de24999eab00,"25350 Stevenson Coves Suite 837, Plainsboro, NJ 08344",983510,6,4.5,3664,1.22,1954,Single Family,For Sale
1b6fcb19-b75e-4085-9f6e-b54bb65fb209,"8592 Jessica Union Suite 759, Woodbridge, NJ 08671",835743,3,3.5,2437,1.85,1999,Townhouse,For Sale
46195705-d11d-478b-a710-0a5971eff174,"2488 Marks Lane, Hillsborough, NJ 07236",1400478,6,4.0,3836,3.2,1959,Single Family,For Sale
3dba43bc-d72e-4902-bdd4-2eea4b41937a,"225 Justin Manor Suite 801, New Brunswick, NJ 08455",854267,4,5.0,3403,0.93,1998,Single Family,For Sale
dd37d246-4185-4096-88f6-5468526483be,"26894 Hicks Burg Suite 571, Plainsboro, NJ 08399",1264364,5,2.5,3639,0.75,2025,Single Family,For Sale
00fc62ae-408b-4786-8181-439c404e867b,"690 Edward Land Suite 340, Plainsboro, NJ 07115",2415236,6,6.0,5794,1.81,1998,Condo,For Sale
4aa80e0a-c5c9-4509-8245-40f5f1cbf2dd,"697 Charles Greens, West Windsor, NJ 08687",2303427,3,2.5,3969,3.56,1979,Single Family,For Sale
cdfc0139-632a-4b33-ab59-c4e98c8aa139,"50248 Brooke Crossroad Apt. 625, West Windsor, NJ 08385",1645639,3,3.5,3193,1.19,2018,Single Family,For Sale
5ac164ee-9614-4618-ac79-1cfb157d9b1f,"541 Barbara Lights, Hopewell, NJ 08287",1765222,4,5.0,4021,1.94,2013,Single Family,For Sale
6ed59091-3232-4e7b-a6f5-6888e0fe19ab,"2999 Patterson Port, Edison, NJ 07568",1541311,2,3.5,3088,2.47,1966,Multi-Family,For Sale
87ccf66e-8889-45bf-955d-b080539521c0,"2579 Steven Inlet, Montgomery, NJ 07548",3233826,6,4.0,4882,3.97,2013,Single Family,For Sale
02d58c32-7100-4a79-b94d-10e2b04eadc1,"501 Summers Inlet Suite 213, West Windsor, NJ 08205",1238273,3,5.0,2949,0.78,1963,Single Family,For Sale
14b9298b-c5f1-470d-baea-fc4d620b8a0d,"19930 Barrett Walks, East Brunswick, NJ 08485",1294650,3,3.5,3201,1.06,1990,Townhouse,For Sale
30447363-6f21-4a7c-8be0-f13f8e2934cb,"7712 Tammy Square Suite 369, Hillsborough, NJ 07229",930590,2,4.5,2360,1.58,1973,Single Family,For Sale
e828e312-7e52-4cde-b33a-a3f187b08a59,"29253 Justin Path, Hillsborough, NJ 07755",2093487,2,4.0,3221,2.26,1989,Single Family,For Sale
5b2da2ab-7738-41d1-b7b0-87738a7947e7,"166 Anderson Parks Suite 680, Hillsborough, NJ 08631",3480822,7,4.0,5868,4.16,1999,Single Family,For Sale
1a0c882f-d557-4336-8e96-e68f482d3b1c,"288 Anthony Isle, Woodbridge, NJ 08453",2151651,2,4.0,3621,1.16,2019,Townhouse,For Sale
4a66cc94-1865-49fe-9e89-75ce195fb564,"359 Hill Ridge, Edison, NJ 08923",589046,6,3.0,2909,2.97,1980,Multi-Family,For Sale
c05dcf1d-3d09-4835-b8af-c580e96c7a9f,"834 Bishop Shores Apt. 546, Plainsboro, NJ 07864",3236046,5,6.0,5354,3.71,2007,Multi-Family,For Sale
887be263-fc06-4045-a8c8-3fd1f925297c,"7572 Nixon Circles, Edison, NJ 07549",1673783,3,2.5,2909,1.97,1954,Single Family,For Sale
71089d8b-f1a3-47e1-99d9-47ea3f2fa596,"05419 Barbara Heights, Bridgewater, NJ 07690",3640270,4,4.5,5592,2.86,2015,Single Family,For Sale
51ed2adb-250a-406d-9ad8-e12a3858ef9b,"76193 Perry Islands, Woodbridge, NJ 08038",1408528,5,3.5,3385,2.29,1993,Multi-Family,For Sale
5c414b30-fabc-466c-a7e1-ffbae99d4bcd,"06672 Glenn Course, New Brunswick, NJ 07180",1673072,4,5.5,3732,1.62,1964,Single Family,For Sale
faf76ac3-52ce-4d4d-9f74-b6c6c7b5015e,"525 Smith Trace, West Windsor, NJ 07951",3416023,3,3.5,5214,2.57,1941,Multi-Family,For Sale
0c3cf354-af73-4353-b4a4-00983012e42b,"193 Tonya Square, Hillsborough, NJ 07078",1697239,4,4.5,3632,1.02,1958,Single Family,For Sale
943e1702-044f-404f-8e4b-5e4b706c5c95,"3606 Adams Port, Lawrenceville, NJ 07680",1453556,2,4.5,2864,3.15,1963,Multi-Family,For Sale
b7a2e87c-8f2f-44ce-a484-6681207e74fc,"190 Gilbert Prairie, Bridgewater, NJ 07153",1681963,3,3.0,3177,1.09,1986,Single Family,For Sale
e8f3b757-8690-4aaa-925d-56f9c1013dc2,"5406 Daniel Row Apt. 620, South Brunswick, NJ 07827",893400,4,3.5,3307,2.94,1970,Single Family,For Sale
1a933eb9-14f8-4614-a7f9-543f8c3dad79,"246 Gill Shoals Suite 001, Montgomery, NJ 08185",2184553,4,4.5,3987,2.29,2018,Multi-Family,For Sale
a0e5b64b-b47e-437b-a212-39fcf6f64058,"4428 Spencer Flats Apt. 256, East Brunswick, NJ 08228",1053250,6,2.5,3711,1.63,1981,Single Family,For Sale
4cb8d5d0-16e9-4382-b3c9-f405b37aa4ce,"254 Regina Forge, Montgomery, NJ 08305",3952268,4,5.0,6026,3.63,2017,Single Family,For Sale
dd560d4a-df13-49c8-b1d9-8b4210479b09,"95815 Robertson Fords, Hopewell, NJ 07486",562170,2,4.5,2143,2.01,1948,Single Family,For Sale
7a45b697-71ba-46a5-a725-36f375d284d4,"54503 Edward Glens Suite 272, Franklin Township, NJ 08717",3363886,3,5.5,5351,2.67,2023,Townhouse,For Sale
d70895ce-d669-4498-a04c-cfb5e33742d8,"7853 Angelica Cove, Hillsborough, NJ 08510",2138853,3,3.5,3933,2.06,1974,Single Family,For Sale
26a9f887-da02-47cf-8045-b7176b9bf2dd,"3929 Lee Canyon Apt. 485, Woodbridge, NJ 07343",1471982,2,2.5,2460,1.28,1982,Single Family,For Sale
66426db5-09ad-428f-89c0-12c816428e2d,"7060 Duncan Trace, Montgomery, NJ 07797",1205827,6,5.5,3806,0.8,1957,Single Family,For Sale
7edfed38-8eb4-4bc8-af21-1a67e520d618,"545 Matthew Streets, Edison, NJ 08851",3405717,6,4.5,5886,2.59,2005,Townhouse,For Sale
79c6870c-a3a1-43c6-ac91-c4cb00821c6c,"841 Michael Bridge Suite 437, New Brunswick, NJ 08192",2974685,4,5.0,5046,3.49,1964,Single Family,For Sale
d8381457-66ab-4a59-b152-8e7e54a4f7fe,"058 Moore Trace Apt. 152, East Brunswick, NJ 07217",2376311,5,5.5,4459,3.25,1948,Single Family,For Sale
d2fb92c5-5878-4c23-8fd7-a90b71220c70,"74169 Lauren Ports, South Brunswick, NJ 07928",3620096,5,5.0,5738,2.93,2011,Townhouse,For Sale
0c929ff7-e90f-4249-a890-35d99a1b0e06,"87550 Brenda Keys, Franklin Township, NJ 07208",1070544,4,3.5,2691,0.68,1974,Townhouse,For Sale
88936cbb-cb23-483a-b99e-e7824f61168e,"457 Janet Extensions Apt. 438, Edison, NJ 08141",1598537,3,3.5,3658,2.29,1990,Single Family,For Sale
b79eb231-a5e6-4279-9853-66ef1e2eb6a9,"954 West Walks, Plainsboro, NJ 08068",3936739,6,6.0,6003,2.39,2009,Single Family,For Sale
38a012ae-ed7c-4d6a-a94d-9e2d3b8e6bee,"138 Justin Drive Suite 100, Hillsborough, NJ 08279",2474811,4,3.0,4348,3.21,1959,Single Family,For Sale
301216b3-b923-4d6b-98b4-a864dea80deb,"04946 Andrews Villages Apt. 858, Hillsborough, NJ 08183",2211731,2,3.0,3198,1.54,1978,Single Family,For Sale
33ee7a66-f289-461d-88e0-6728d29279d4,"3582 John Villages Apt. 076, Plainsboro, NJ 08339",3144279,7,6.0,6143,3.18,2020,Single Family,For Sale
7591dd11-89f1-4654-a255-84da36ec0703,"67520 Daniel Brook, Franklin Township, NJ 07123",3674763,4,3.5,5540,3.58,1997,Single Family,For Sale
a4ee068e-6dff-4063-b20d-9ff5c4251de2,"72038 Brooke Path, East Brunswick, NJ 08443",2274446,5,4.0,3927,3.82,1992,Single Family,For Sale
6663e428-a1b9-4576-99ed-c49b4462ffca,"045 Wheeler Ways Suite 194, Piscataway, NJ 08352",3328325,4,6.0,5144,4.2,2006,Single Family,For Sale
fb54fd53-0971-49f9-bf41-3498b61f10c0,"69858 Lewis Centers, Bridgewater, NJ 08667",2584605,6,5.5,4761,4.17,1954,Single Family,For Sale
cc6a08c4-337f-453f-bc77-df086af14c24,"4947 Paul Views Apt. 131, Hopewell, NJ 07057",3646748,6,5.0,5916,2.33,2024,Single Family,For Sale
a8ee9700-bc00-488c-a91d-cd076f3f70b4,"365 Everett Rapids Suite 245, West Windsor, NJ 08708",866347,4,3.5,2642,1.2,1940,Multi-Family,For Sale
00c0f625-15c4-4af2-89a9-83d4b246a3ee,"6413 Brandon Turnpike, West Windsor, NJ 08391",562484,4,2.0,2355,1.48,2012,Townhouse,For Sale
d5a19246-22c7-4db8-af4b-5c79a3668c32,"8864 James Field Apt. 205, Edison, NJ 07195",2513976,6,3.5,6546,4.26,2023,Condo,For Sale
9691a814-665b-4cde-9375-dd791dba8a29,"125 Parker Extensions Apt. 320, Princeton, NJ 07750",2177140,2,3.5,3789,3.4,2013,Townhouse,For Sale
09b08283-4bbf-42b3-a418-6df2442abefc,"2831 Catherine Flats Apt. 634, Lawrenceville, NJ 07483",2456323,6,4.5,4282,3.69,1950,Single Family,For Sale
2f4219f6-903a-438a-a041-0adcea020022,"24625 Pamela Fort Suite 993, Woodbridge, NJ 07496",3132923,3,4.5,4436,3.4,2009,Multi-Family,For Sale
8d98b174-f88c-4e50-a137-f58856a9a12e,"9999 Carter Green, West Windsor, NJ 07442",1152292,4,4.5,3295,1.6,1957,Single Family,For Sale
896300bd-7b74-480c-bb26-68acd12cab9a,"5822 Smith Union Suite 391, Franklin Township, NJ 08259",1839063,2,3.0,3074,3.57,1956,Townhouse,For Sale
2416cd4c-22c6-4d24-a507-5a5d23c043b3,"24911 Morales Camp, Princeton, NJ 07349",2870007,6,5.0,5102,2.06,1953,Single Family,For Sale
014c1bd8-7d5e-47ca-82b1-36fb8c961307,"01280 Charlene Vista, Bridgewater, NJ 07741",848611,6,5.0,3706,0.83,1979,Single Family,For Sale
c0e379c5-b1b7-4169-aec8-e618fbd6d829,"4990 Watson Common, Lawrenceville, NJ 08379",1552353,3,5.0,3378,3.24,1985,Single Family,For Sale
e804f9b6-4234-4dd6-a572-3e28880e9d13,"67456 Carter Manors Suite 653, Princeton, NJ 08511",2840903,7,5.5,5471,1.83,1983,Townhouse,For Sale
cf0fbe0a-e1f9-47f6-a553-99da79c8d079,"872 Carol Mountains, Montgomery, NJ 07699",1277882,4,4.5,3461,0.65,2024,Single Family,For Sale
1bf2b611-52c1-4664-8777-169daeb96d4d,"32502 Danielle Hollow Apt. 583, East Brunswick, NJ 08861",3266862,4,6.0,5518,2.8,1994,Single Family,For Sale
c817158c-79f5-4782-a3e5-a7434085e41f,"70101 Krista Ridge Apt. 378, Plainsboro, NJ 07576",1858547,2,3.5,2913,2.2,1950,Single Family,For Sale
266718d1-7611-4865-a6a1-f04961ce9ee2,"405 Phillip Pike Suite 809, West Windsor, NJ 07267",3493475,6,3.5,5779,3.96,1946,Multi-Family,For Sale
5f94726e-99b9-489b-b65a-65b8180ec7fa,"0499 Robert Prairie, New Brunswick, NJ 08304",2130249,6,4.5,5786,2.37,2022,Condo,For Sale
d4627f71-607a-44cf-a1bd-f24235ac0984,"7395 Katherine Course, Hopewell, NJ 08728",3113883,6,5.0,5772,4.15,2025,Multi-Family,For Sale
dd87ca17-f0be-40a7-8aad-32773cda7347,"43134 Miller Isle, Hillsborough, NJ 07416",2400057,3,5.5,4130,2.09,2013,Single Family,For Sale
b617add5-7622-4c39-9a0d-6e7ccbf8fa7a,"357 Joseph Village, Princeton, NJ 08703",2136498,4,2.5,3434,3.86,1982,Single Family,For Sale
a4532c8f-f924-4b11-8efb-9973f931cd39,"41173 Sharon Walk, West Windsor, NJ 08929",2969045,5,4.0,4739,3.14,2012,Single Family,For Sale
3cc48cdc-5ca8-464e-b298-5c06de2226db,"43757 Barnes Ways, Montgomery, NJ 07472",2337043,5,6.0,4934,4.26,1983,Condo,For Sale
84f3256c-2ff5-4159-8eb0-39d08d53cb4d,"8400 Ochoa Road Suite 766, Piscataway, NJ 07433",3399173,3,4.0,4919,4.59,1995,Single Family,For Sale
bf20dd91-dd32-4aea-bdce-4a1fc8fcd5f5,"69043 Joel Mountains Apt. 572, Bridgewater, NJ 08426",991680,3,4.0,2610,0.9,1982,Single Family,For Sale
f0d03375-99cb-426e-bb3d-cc86103ad62d,"949 Michael Road Apt. 114, Woodbridge, NJ 07295",2490098,3,6.0,4556,1.86,1983,Single Family,For Sale
599949d0-d349-4719-8b44-46b9ee86199d,"243 Dennis Brooks Apt. 269, South Brunswick, NJ 07001",1076635,6,4.0,3506,0.9,2009,Townhouse,For Sale
ec706964-1589-497c-bb65-f8bde2750eac,"939 Luke Square, Plainsboro, NJ 08416",2388038,3,4.0,3601,3.39,2023,Single Family,For Sale
e2ba6ad8-2924-4426-814b-f067904da532,"167 Mueller Lane, New Brunswick, NJ 07525",2223309,2,4.5,3553,2.75,1973,Single Family,For Sale
32560ceb-c3a0-4959-acaa-a40140e73661,"12376 Quinn Mills, Hopewell, NJ 07736",2962764,4,5.0,5108,3.9,1999,Single Family,For Sale
92f58e86-eb94-4b9a-92d5-5e1045de298e,"56769 Mary Union Suite 565, New Brunswick, NJ 08819",707273,6,3.5,3749,2.74,1966,Single Family,For Sale
82fd8f2c-e1e7-4212-9590-bf5ea62d17c3,"525 Byrd Expressway, Plainsboro, NJ 08401",3390611,5,4.5,5353,3.23,2004,Single Family,For Sale
e9a4a996-b27f-466f-8a70-22a34ec43e92,"0085 Corey Forest, Plainsboro, NJ 08185",1546082,3,4.5,3449,3.42,1963,Condo,For Sale
ce0703e1-399a-44bf-9b46-c466fc3f44f7,"75961 Thompson Mountain, Princeton, NJ 07491",3468872,5,4.0,5550,2.05,1995,Single Family,For Sale
07102d9f-26f2-46da-bc35-89c19a909801,"84135 Brian Path, Hopewell, NJ 08808",967650,2,4.0,2555,1.83,1976,Single Family,For Sale
caf98470-edbd-4fa0-93be-c584318986f3,"872 Chavez Grove, Lawrenceville, NJ 07993",3275673,5,4.5,5068,2.78,1990,Single Family,For Sale
efea5c86-87d0-45b4-a2b4-c8b8851feaf1,"8676 Buckley Fork Suite 467, Franklin Township, NJ 07780",2322429,5,4.0,4124,3.98,2023,Multi-Family,For Sale
